sex,age,income,wt,ht,bmi,waist
female,15,35000,100.3,166.3,36.27,105.3
male,40,55000,88.6,181.3,26.95,98.2
male,68,15000,97.2,180.1,29.97,104.1
female,48,5000,91.8,166.5,33.11,109
female,44,45000,57.5,167.9,20.4,84.5
female,46,65000,94.4,157.5,38.05,
female,14,45000,48.8,169.5,16.99,68
male,40,75000,80.5,172.9,26.93,98.6
male,52,45000,92.5,176.5,29.69,103.5
male,50,20000,95.6,172.1,32.28,105.7
female,44,10000,69.3,166,25.15,87
female,38,75000,100.3,164.7,36.98,104
male,47,20000,95,167.6,33.82,107.7
male,63,45000,100.2,166.9,35.97,118
female,52,45000,115.4,158,46.23,118.7
male,71,,79.6,164.4,29.45,97.7
male,16,75000,61.2,181.6,18.56,76.1
female,74,15000,82.8,167.5,29.51,108
male,44,20000,82.8,167.7,29.44,95.6
female,21,15000,45,169.6,15.64,70.9
male,18,45000,63.2,163.4,23.67,75.2
female,48,10000,118.8,165.3,43.48,137.2
female,50,100000,72.3,157.4,29.18,109.2
female,38,35000,102,168.6,35.88,109.3
male,43,35000,72.9,150.7,32.1,98.3
male,63,100000,69.4,164.5,25.65,94.6
male,20,25000,77.5,165,28.47,92.8
male,27,45000,79.7,180.1,24.57,89.3
male,80,10000,57.5,163.5,21.51,88.2
female,80,25000,75.9,153.5,32.21,102.9
female,72,35000,61.7,155.2,25.62,90
male,80,15000,62.9,154.4,26.38,97.5
female,71,65000,77.3,161.5,29.64,107.9
female,48,25000,70.4,165.6,25.67,90.4
male,54,20000,77.1,175.4,25.06,96.4
male,16,75000,69,176.2,22.22,73.9
male,75,75000,111.1,184.7,32.57,117.7
male,38,0,71.2,170.1,24.61,85.4
male,58,0,81.5,174.8,26.67,96.3
male,73,35000,75.8,170.2,26.17,94.7
male,57,65000,63.6,162.1,24.2,85.7
female,69,55000,60.9,157.9,24.43,79.5
female,62,20000,58.2,145.8,27.38,91.9
female,47,45000,84.7,148.2,38.56,120.3
female,40,25000,90.1,166.5,32.5,97.9
male,19,20000,59.3,175.6,19.23,71.3
male,15,25000,50.8,162.4,19.26,70.7
male,65,100000,107.4,183.2,32,117.2
male,62,,74.1,177.2,23.6,91.4
female,23,10000,84.7,161.7,32.39,104.5
male,50,10000,81.3,182.8,24.33,97.9
female,76,100000,85.7,152.2,37,115.6
female,68,55000,48.6,160.8,18.8,74.9
female,55,15000,157.3,155.6,64.97,154.5
female,28,10000,89.6,170.7,30.75,102.7
female,48,35000,63.9,162.3,24.26,91.8
male,35,20000,76.9,168.9,26.96,94.1
female,48,20000,107,165.5,39.06,125
male,21,15000,73.7,173.9,24.37,78.8
female,36,20000,64.7,154.3,27.18,90
female,48,100000,60.6,159.3,23.88,91.5
female,35,65000,60.3,165.8,21.94,77.1
male,20,35000,64.9,164.6,23.95,74.1
female,44,20000,112.9,168,40,129.1
female,34,55000,97.6,165,35.85,122.4
female,44,75000,137.6,171,47.06,120
male,56,100000,98.9,179.9,30.56,116
male,20,25000,69.6,170,24.08,87.5
male,68,100000,81.2,164.3,30.08,104.1
female,36,25000,65.3,161.2,25.13,86.9
female,64,,111.4,164.5,41.17,134
female,71,75000,69.2,147.9,31.64,110.7
male,59,10000,78.5,164.8,28.9,95.2
male,18,5000,72,174.7,23.59,79
male,35,25000,94.4,181.4,28.69,103.9
male,19,10000,70,192.3,18.93,74.7
female,22,45000,62.6,149.7,27.93,
female,15,100000,61.1,164.5,22.58,83.3
female,71,45000,75.9,156.8,30.87,104.2
male,80,65000,79.3,166.1,28.74,109.2
female,30,10000,86,174.4,28.28,100
male,37,75000,101.8,180.4,31.28,104.5
female,61,10000,91.9,160.4,35.72,112.5
male,22,10000,76,179,23.72,86.7
male,44,75000,87.3,179.2,27.19,98.6
female,37,10000,131.7,164,48.97,130.6
female,50,15000,80.8,174.9,26.41,99.7
female,23,10000,109.3,159.9,42.75,
male,60,55000,62.6,160.7,24.24,89.4
male,25,100000,92.2,169.7,32.02,101.2
male,31,25000,121.2,184.6,35.57,111.7
male,48,100000,117.3,181.5,35.61,117.8
male,52,25000,98.8,171.7,33.51,115.8
male,28,35000,58.6,175.2,19.09,77.1
male,78,10000,89.4,166.2,32.36,120.4
female,15,100000,49,163.4,18.35,65.8
female,20,,75,172.4,25.23,80.8
female,39,20000,81.2,160.5,31.52,90.4
female,43,20000,65.2,154.4,27.35,90.1
male,20,25000,77.2,181.1,23.54,81.4
male,60,65000,86.1,183.7,25.51,94.1
female,74,15000,55.4,158.6,22.02,81
male,29,20000,71,187.6,20.17,76.8
male,60,100000,70.6,179.3,21.96,87.2
female,80,35000,49,141.3,24.54,87.4
female,17,,48.4,151.7,21.03,71.5
male,51,45000,97.5,178.6,30.57,107
female,17,45000,63.6,171.4,21.65,80.5
male,39,100000,91.2,183.9,26.97,82.6
male,80,15000,77.4,170.9,26.5,107.3
male,63,65000,108.2,171.9,36.62,123
male,31,25000,74.8,172.9,25.02,90.4
female,25,,59.4,149.6,26.54,93.8
male,12,75000,74.2,161.4,28.48,87
male,15,75000,65.1,173.1,21.73,76
male,68,,71.3,175.9,23.04,93.2
female,27,35000,52.4,165.9,19.04,77.3
female,41,10000,144.2,163,54.27,146.5
female,24,65000,55.6,160.1,21.69,67
male,16,55000,66.4,177.2,21.15,80.2
female,47,25000,76.5,162.4,29.01,92.6
male,80,45000,92.4,180.8,28.27,111.6
female,39,100000,63.8,172.4,21.47,81.3
male,28,25000,56.9,178.2,17.92,75.3
male,20,100000,76.5,176.4,24.58,85.2
female,61,25000,65.7,165.2,24.07,86.5
female,36,55000,98.4,168.1,34.82,110
female,80,35000,66.1,156.8,26.88,96.5
female,40,5000,56.5,168.3,19.95,79.5
female,60,25000,77.3,153,33.02,93.8
female,27,100000,59.2,156.5,24.17,87.7
female,42,20000,65.1,157.5,26.24,77.3
male,70,25000,104.1,176.6,33.38,124.2
female,52,20000,61.3,157.2,24.81,83.4
female,33,15000,85.1,157.8,34.18,115.6
female,44,20000,80.3,154.2,33.77,97.4
male,65,35000,90.4,171.3,30.81,109.7
female,19,15000,63,158.2,25.17,82
male,18,15000,60.7,168.4,21.4,72.5
female,28,15000,48.5,157.3,19.6,72
male,48,25000,52.1,162.6,19.71,75.6
female,48,65000,88.7,169.3,30.95,112.3
male,30,75000,110.8,185.7,32.13,108.2
female,37,25000,132.3,165.3,48.42,129.4
female,49,75000,97.8,164.3,36.23,112
female,19,20000,110.5,160,43.16,112.5
male,18,15000,60.1,169.2,20.99,77
male,80,35000,88.6,174.4,29.13,110.8
male,15,25000,59.6,166.9,21.4,71
female,58,25000,79.1,154.3,33.22,101.6
male,19,100000,68.8,179,21.47,82.5
female,31,25000,97.7,165.3,35.76,120
female,67,75000,61,155.9,25.1,87.8
female,14,45000,54.5,159.2,21.5,79.2
male,16,55000,91.6,167.8,32.53,106.2
male,67,20000,74.4,162.6,28.14,101
male,71,20000,123.7,181.4,37.59,132
female,28,5000,79.4,172.7,26.62,95.7
female,78,20000,77.1,164.2,28.6,92.5
male,57,75000,96.1,174.5,31.56,105.7
male,16,20000,75.9,175.9,24.53,77.7
female,24,5000,95.3,171.1,32.55,112.7
female,43,55000,40.7,159.6,15.98,65
female,52,35000,43.4,161.4,16.66,71.4
female,58,,68.5,151.8,29.73,102.9
female,43,45000,97.2,163.1,36.54,106.9
male,57,25000,103.2,178.7,32.32,110
female,57,65000,108.5,161.1,41.81,118.5
male,57,55000,77.8,174.4,25.58,91.3
male,30,10000,73.1,185,21.36,79.5
female,20,75000,56.9,167.2,20.35,72.1
male,20,25000,94,169.4,32.76,104.8
male,16,65000,100.4,179.5,31.16,104
male,46,45000,78.3,160.5,30.4,102.5
male,41,45000,92.9,181.6,28.17,91.7
female,57,10000,68.4,178.1,21.56,84.9
female,39,100000,66.2,164.2,24.55,86.2
female,50,25000,77,151.6,33.5,104.2
male,40,35000,137.3,177.2,43.73,127.3
female,28,35000,78.5,166.9,28.18,93.9
male,20,15000,67.2,185.4,19.55,76.8
female,29,65000,67,157.3,27.08,91.7
male,50,65000,88.6,176.5,28.44,104.3
female,49,20000,62.1,150.9,27.27,88.7
male,64,100000,85.5,184.6,25.09,103.2
female,18,75000,57.3,163,21.57,75.2
male,44,20000,109.3,177.1,34.85,118
female,80,5000,61.7,149.6,27.57,
male,51,,117.8,187.8,33.4,
female,65,45000,58.5,142.6,28.77,99.5
female,37,45000,73.1,157.7,29.39,96.3
female,40,15000,91.2,156.7,37.14,116
male,25,55000,124.9,181,38.12,114.2
female,34,75000,64.8,157.5,26.12,88.3
male,20,75000,85.8,173.3,28.57,101.5
female,50,20000,79,166.1,28.63,105.3
female,19,0,49,159.6,19.24,69.4
female,53,100000,69.6,166.7,25.05,91.4
female,13,100000,55.3,155.5,22.87,78.5
female,16,55000,54.1,169.6,18.81,72.2
male,29,0,103,169.2,35.98,111.9
female,21,55000,46.9,154.3,19.7,67.2
male,15,0,87.9,176.5,28.22,90.7
female,67,45000,65.8,147,30.45,100.6
male,80,25000,67.8,159.4,26.68,99.5
male,37,15000,84.9,178.5,26.65,101.8
female,80,15000,59,161,22.76,94.2
male,61,25000,88.2,168.9,30.92,105
male,80,45000,100.5,168.9,35.23,122.8
female,56,75000,73.7,169.9,25.53,91.1
female,45,< 20000,66.6,152,28.83,96.8
female,62,55000,101.1,158.8,40.09,105.6
female,23,10000,64,156,26.3,82
female,55,10000,68,153.5,28.86,98.6
male,61,25000,89.8,174.5,29.49,117
female,44,10000,59.5,151.2,26.03,90
female,46,25000,111.3,169.1,38.92,113.7
female,34,25000,114.4,179.7,35.43,132.6
female,68,15000,47.1,163.9,17.53,76.6
male,46,15000,123.6,178.7,38.71,129.5
female,28,100000,70.3,166.6,25.33,86.5
female,18,45000,43.7,154.1,18.4,60.7
male,76,35000,108.5,183.7,32.15,128.3
female,66,100000,73.3,162.9,27.62,99
male,18,55000,64.9,165.9,23.58,80.8
female,38,20000,80.1,166.5,28.89,96.5
female,27,20000,57.1,164.2,21.18,72.8
male,52,45000,65.7,159,25.99,97.1
male,14,25000,60.6,172.2,20.44,75.5
male,17,10000,69.6,175.3,22.65,73.6
female,37,25000,54.9,167.3,19.61,78
female,65,100000,106,177.4,33.68,119
male,39,35000,137.1,180.9,41.89,
male,22,10000,111.6,182.1,33.65,112.3
female,53,25000,85.3,177.2,27.17,111.2
female,29,65000,58.8,156.6,23.98,87
female,47,45000,83.1,163.4,31.12,105.1
female,14,100000,65,156.4,26.57,91.2
male,52,10000,72,171.1,24.59,95.9
female,25,0,152.5,176.7,48.84,138
male,46,65000,65.7,167.6,23.39,84.5
male,31,35000,96.3,178.6,30.19,94
male,20,75000,56,173.8,18.54,70.4
male,80,25000,77.6,175.1,25.31,103.4
male,40,20000,84.3,171.2,28.76,96
female,53,10000,116.5,164.9,42.84,119.1
male,27,45000,80.7,182.8,24.15,87.2
female,46,55000,112.4,164.5,41.54,117.5
male,54,75000,112,178.9,34.99,119
female,61,45000,62.1,148.8,28.05,92.5
female,42,35000,89.6,157.1,36.3,119.6
male,16,65000,109.5,171.9,37.06,115.4
female,32,55000,73.3,177.2,23.34,93
male,47,75000,107.8,181.8,32.62,112
female,24,,51.6,155.7,21.28,74.3
female,72,10000,74.5,147.5,34.24,
female,47,100000,62.3,162.9,23.48,84.7
male,15,100000,59.7,167.7,21.23,71.3
female,52,100000,66.4,163.8,24.75,
male,14,20000,41.2,146.6,19.17,72.6
male,63,35000,80.3,170.3,27.69,106.5
male,52,65000,94,163.1,35.34,111.5
female,46,0,75.1,155.8,30.94,100.3
male,30,100000,91.1,183.8,26.97,92.9
female,48,20000,80,166.6,28.82,94.7
female,51,10000,84.5,165.1,31,97.5
male,80,< 20000,79,181.9,23.88,102.5
female,27,0,51.2,156.7,20.85,75
female,44,15000,44.9,167.6,15.98,67.1
female,48,25000,71.7,148.7,32.43,115.3
female,45,35000,66.9,148.4,30.38,87.2
male,72,15000,99.1,173.7,32.85,
female,41,20000,82.6,159,32.67,102.2
female,42,100000,80,169.8,27.75,100.3
male,31,5000,126,186.7,36.15,118.5
female,73,100000,152,152.7,65.19,
female,68,,81.1,158.3,32.36,102.7
female,47,,75.4,152.9,32.25,107
female,18,45000,61.3,152.7,26.29,77.6
female,54,,75,154.6,31.38,101.1
male,29,15000,75.6,170.2,26.1,86.5
male,68,,132.8,189.6,36.94,128.3
female,31,20000,72.7,168,25.76,94.6
female,39,35000,71.4,159,28.24,91
male,65,65000,65.8,170,22.77,86.9
male,34,,79,171.8,26.77,92.2
male,36,15000,122.4,162.1,46.58,130
female,46,100000,86.4,165.4,31.58,103
male,44,45000,134.7,176.4,43.29,139
female,28,5000,94.1,156.2,38.57,113.6
male,15,,60.5,167,21.69,79.5
female,52,75000,65.4,155.5,27.05,89.9
female,50,35000,88.7,169.2,30.98,111
female,15,20000,40,149.7,17.85,63
male,52,55000,78.1,172.8,26.16,102.2
female,31,0,61.2,158.5,24.36,85.7
male,36,25000,130.8,178.2,41.19,126.7
male,45,65000,100.2,173.3,33.36,110
female,22,35000,43.1,157.4,17.4,66.5
male,63,15000,203,186.8,58.18,168.7
male,29,0,68.7,179.1,21.42,80
female,52,,62.3,150.2,27.62,91.4
male,16,35000,69.9,161.3,26.87,84.1
female,34,25000,76.7,154.3,32.22,89.8
female,17,25000,83.2,174.9,27.2,96.1
male,43,35000,87.1,179,27.18,96.2
male,56,0,94.9,177.7,30.05,106.2
male,61,20000,113.7,166.3,41.11,134.1
male,71,35000,84,180.5,25.78,
male,14,5000,58.1,168.7,20.41,69.9
female,15,10000,56.5,164.6,20.85,72.7
male,61,100000,91.9,176.4,29.53,103.9
male,27,45000,90.7,177.4,28.82,100.2
female,18,35000,94.7,160.1,36.95,109.6
female,68,20000,61,148.2,27.77,101.5
female,42,20000,89.3,159.4,35.15,112.4
male,14,10000,69.3,175,22.63,79.5
female,40,5000,102.4,160.5,39.75,117.5
male,12,20000,66.4,152.7,28.48,93.6
female,62,100000,73.1,163.6,27.31,85
male,68,25000,136.2,172.6,45.72,137.6
female,30,5000,61.5,160.2,23.96,83.2
male,25,5000,98.3,177,31.38,99.6
female,60,45000,88.1,164.6,32.52,120
male,48,35000,170,173.9,56.21,167
male,50,35000,66.6,172.9,22.28,83.7
female,54,65000,115.7,178.8,36.19,110
female,14,100000,62.6,168.6,22.02,86.1
male,35,45000,133.2,187,38.09,126.2
female,27,20000,72.5,153.8,30.65,98.7
male,50,45000,95.2,169.4,33.17,106.5
male,47,45000,129.7,176.5,41.63,123
male,61,75000,83,182,25.06,96.3
male,80,35000,78.1,177.5,24.79,96
female,23,35000,117.6,177.4,37.37,120.6
female,34,20000,63.8,157,25.88,88.3
female,29,20000,53.1,158,21.27,74.5
female,67,,56.5,148.5,25.62,87.4
female,72,25000,70.4,162.3,26.73,90.5
male,80,,62.4,168,22.11,
male,35,,87,174.1,28.7,104.2
female,36,100000,59,169,20.66,81.8
female,68,20000,57.8,163.3,21.67,90.4
male,20,20000,92.6,172,31.3,95
male,59,10000,74.4,180.3,22.89,94.8
male,16,25000,46.7,163.1,17.56,70.4
male,16,10000,117.7,173.8,38.97,117.7
female,67,100000,102.8,165.4,37.58,126.6
male,42,25000,92.6,163.1,34.81,109.4
female,44,65000,56.2,163,21.15,71.1
male,80,35000,77,158.7,30.57,112
male,26,20000,71.1,180,21.94,82.8
female,64,35000,99.6,157.8,40,125
female,14,35000,73.9,170.7,25.36,90.3
male,38,75000,91.3,177.4,29.01,98.1
female,38,35000,86.3,159.4,33.97,101
male,75,20000,93.3,171.3,31.8,109
male,15,100000,59.3,165.2,21.73,70
female,13,0,58,157.5,23.38,76
male,13,100000,56.5,165.6,20.6,68.9
male,16,65000,94,172.8,31.48,109.1
female,37,< 20000,60.9,159.2,24.03,78.2
female,26,35000,64.1,174.1,21.15,82
female,73,20000,48.9,163.3,18.34,79.5
female,32,15000,60,158.2,23.97,87
male,25,15000,63.3,171,21.65,77
male,70,35000,94.8,166.2,34.32,108
male,18,100000,67,181.5,20.34,74.8
female,62,0,56.7,148,25.89,81.1
male,54,25000,90.8,175,29.65,106
female,44,0,53.3,162,20.31,74.6
female,54,25000,79.3,148.2,36.11,107.6
male,44,100000,90,182.6,26.99,99.3
female,40,0,74.2,153.6,31.45,88.6
female,76,15000,80.3,159.8,31.45,104.8
female,16,65000,52.1,151,22.85,73.8
female,71,100000,127.7,154.1,53.78,
female,80,45000,83.8,157.7,33.7,107.8
female,18,20000,79.5,153.8,33.61,104
male,28,15000,65.4,176.7,20.95,80.2
female,75,45000,77.1,174.2,25.41,89.2
male,70,10000,67.4,165.5,24.61,94.2
female,28,65000,63.1,157.6,25.4,91.9
male,64,55000,74.5,166.9,26.75,95.5
female,50,0,95,172.5,31.93,111.7
female,80,25000,63.9,150.9,28.06,98.5
male,73,15000,75.8,174.6,24.86,96.2
male,34,65000,69.3,184.1,20.45,76.4
female,80,15000,46.4,143.8,22.44,76
male,26,20000,82.5,174.1,27.22,93
male,51,25000,54.1,172.8,18.12,68.4
female,22,10000,105.2,166.6,37.9,117.5
male,41,20000,123.1,175.4,40.01,130
male,68,0,76.5,172.5,25.71,95.7
female,42,55000,55.6,155.6,22.96,83
female,31,75000,77.2,157.1,31.28,99.9
male,60,45000,109.7,180.5,33.67,116.1
female,64,20000,51.2,150.8,22.51,78.6
male,40,10000,89.1,165.8,32.41,107.1
female,16,65000,69,161.9,26.32,80.7
female,19,25000,55.4,156.3,22.68,66.7
female,33,20000,52.3,157.3,21.14,73
male,44,100000,89.4,173.4,29.73,96.6
male,29,45000,93.9,175.5,30.49,104.1
male,17,35000,53.5,173.8,17.71,68.2
male,13,5000,61.5,151.2,26.9,94.2
female,45,35000,52.1,160.8,20.15,75.1
male,55,75000,90.5,182,27.32,102.3
female,27,65000,56.2,161.8,21.47,74.5
male,26,45000,85.7,170.5,29.48,96.8
male,73,10000,95.2,177.2,30.32,111.9
male,42,25000,80.8,160.9,31.21,96.5
male,20,45000,74.5,177.4,23.67,85.2
male,14,0,73.3,170,25.36,84.2
male,29,55000,62.6,180.4,19.24,74.9
male,70,35000,82,177.7,25.97,102.3
female,19,25000,57.1,167.4,20.38,76.8
female,27,65000,82.8,162.8,31.24,88.2
female,49,100000,77.8,161.6,29.79,96.8
male,19,20000,89.4,173.8,29.6,96.5
male,40,100000,99.3,169.7,34.48,114.3
male,35,20000,85.3,171.3,29.07,104.4
male,20,75000,87.1,188.6,24.49,82.5
male,44,55000,102.6,168.7,36.05,115
female,19,,52.5,155.3,21.77,72.5
female,25,25000,147.2,167.7,52.34,133.2
male,47,75000,87.4,178.7,27.37,103.2
female,63,15000,105,155.9,43.2,129.3
female,16,25000,51.3,164.7,18.91,67
male,13,65000,76.2,179.3,23.7,84.2
female,46,20000,47.4,155.3,19.65,72.1
female,24,15000,57.2,163.1,21.5,82.4
female,60,55000,76.9,156.5,31.4,103.5
male,13,25000,65,166.8,23.36,78.2
male,80,25000,56,161.8,21.39,82.8
male,31,35000,49.4,163.3,18.52,70.2
male,79,100000,94.5,182.3,28.44,105
female,27,25000,70.8,160,27.66,97.3
male,42,55000,80.4,173.2,26.8,96.1
male,49,25000,124.1,168.4,43.76,134.3
male,16,,49.4,148.7,22.34,83.3
female,21,10000,66.7,163.2,25.04,84
female,52,25000,101.1,158.2,40.4,121.2
female,36,55000,78.8,166.6,28.39,99
female,66,,70.5,154.2,29.65,103.5
male,50,20000,90.9,171.7,30.83,106.3
female,21,20000,71.1,157.5,28.66,87.8
male,62,25000,84.5,163.3,31.69,107.6
female,15,55000,52.7,156.7,21.46,68
female,21,0,56.8,166.2,20.56,72.4
female,79,10000,62.8,163.3,23.55,95.9
female,41,100000,72,160,28.13,
female,37,15000,161.7,183,48.28,131.5
male,57,25000,62,171.8,21.01,83.3
male,65,75000,84.5,185.7,24.5,96
male,18,0,77.8,183.4,23.13,77
male,67,75000,114.6,179,35.77,121.5
male,63,15000,129.3,172.8,43.3,138.5
female,52,45000,52.3,163,19.68,77.3
female,20,35000,70,161.6,26.8,102
female,79,20000,63.6,157.7,25.57,92.5
male,71,45000,94,167.9,33.34,124
male,40,75000,91.2,176.1,29.41,97
male,20,10000,96.5,177.5,30.63,87.5
male,29,75000,81.9,163.6,30.6,89.2
female,49,75000,69.8,161.9,26.63,82.9
female,67,35000,67.7,159.4,26.64,87.5
male,16,10000,61.7,170.2,21.3,79.4
female,80,15000,67.8,150.6,29.89,106
female,63,5000,69.9,150.3,30.94,99.3
female,71,100000,60.3,170.5,20.74,78.7
female,35,5000,74,162,28.2,90
male,75,10000,96.7,162.1,36.8,121.4
female,44,5000,66.6,152.8,28.53,93
male,14,100000,55,177,17.56,67.8
female,24,,78.4,155.7,32.34,104.1
male,20,100000,90.2,193.1,24.19,85.4
male,64,35000,113.3,187.5,32.23,115
male,36,,73.3,168.6,25.79,95
female,65,5000,96.8,171.7,32.83,121.5
female,40,15000,75.3,156.1,30.9,91.5
male,80,65000,62.9,163.2,23.62,91.5
female,24,45000,115.8,157.6,46.62,133
female,14,25000,42.7,154.7,17.84,69
male,54,75000,89.9,179.8,27.81,102.1
male,73,45000,66.6,171.2,22.72,90.3
female,43,100000,77.2,159.5,30.35,101
female,65,100000,76.1,166.9,27.32,101.1
female,14,,78.5,158.9,31.09,102
male,31,55000,88.5,174,29.23,97.4
male,71,15000,87.3,174.9,28.54,115.5
male,13,75000,40.5,151.1,17.74,64.1
male,55,15000,86,169.1,30.08,95.5
female,48,15000,70.4,164.8,25.92,90.2
male,17,20000,45.9,162.5,17.38,65.3
male,59,20000,109.9,192.3,29.72,114.1
male,20,10000,88.9,181.1,27.11,102.7
male,42,55000,84.1,170.6,28.9,97
male,61,10000,84.4,184.3,24.85,99.4
male,63,25000,120.5,190.5,33.2,114.3
female,17,45000,46.3,161,17.86,67
male,77,45000,92.6,168.3,32.69,123.5
female,63,15000,67.5,155,28.1,100.3
male,30,,55.9,163.3,20.96,72.7
female,64,10000,98.3,162,37.46,119.2
female,36,,69,164,25.65,93.2
male,15,25000,52.1,169.6,18.11,67.8
female,33,,51.1,147.6,23.46,76.6
female,15,45000,42.8,152.3,18.45,68.7
female,35,45000,63,163.7,23.51,89.9
male,43,100000,110.2,179.8,34.09,111
female,58,25000,96.9,168.9,33.97,115.5
male,40,25000,106,169.6,36.85,121
male,66,25000,80.4,162.6,30.41,107
female,51,100000,89.5,163.5,33.48,96.6
female,80,15000,63.1,156.1,25.9,91.5
female,28,75000,68.1,150.2,30.19,95.7
female,76,10000,33.2,158.7,13.18,61.5
male,80,55000,62.4,166.7,22.46,90.8
male,23,20000,69,170.3,23.79,75.3
female,19,25000,50.5,155.8,20.8,70.8
male,17,55000,65.9,181.4,20.03,76.3
male,22,10000,77.7,181.3,23.64,88.6
female,20,35000,70.5,150,31.33,102.8
female,13,45000,69.5,158.3,27.73,91.1
male,46,0,93.7,163.6,35.01,112.5
male,32,55000,51.3,172.1,17.32,64.9
male,28,20000,77.4,171.4,26.35,91.9
male,21,5000,84.8,183.8,25.1,82
male,19,20000,96.7,176.3,31.11,104.5
female,14,100000,54,162.4,20.47,72.2
male,18,35000,92.1,176,29.73,92.7
male,37,0,64.3,166.6,23.17,83
male,23,,67.4,166,24.46,85.2
female,14,100000,50.3,158.7,19.97,75.1
female,64,35000,95.5,158.9,37.82,113.5
male,59,10000,78,171.3,26.58,104.8
male,80,20000,83.1,172.1,28.06,103.5
male,32,15000,72.7,173.7,24.1,91.3
male,68,15000,93.6,172.1,31.6,111.5
female,63,45000,71.1,168.4,25.07,93.6
female,54,75000,119.2,169.5,41.49,132.6
male,38,35000,69.8,172.9,23.35,83.1
male,20,25000,103.5,178.3,32.56,119.7
male,73,20000,66.3,173.5,22.02,89.7
male,61,25000,90,182.7,26.96,96.2
male,24,5000,75.6,181.1,23.05,80.5
male,16,15000,55.8,175.2,18.18,70.2
female,12,65000,46.9,161.7,17.94,64.3
female,17,25000,66.9,157.2,27.07,87.7
male,39,10000,74.9,175.8,24.24,92.6
male,64,20000,106.3,182,32.09,105.9
male,62,45000,49.3,153,21.06,79.2
female,77,75000,63.4,153.4,26.94,96.9
male,39,20000,72.5,163.7,27.05,95.5
female,17,100000,56,148.8,25.29,74.8
female,14,20000,68.4,156.8,27.82,92.2
female,13,75000,55.7,156.9,22.63,73.9
male,21,0,63.9,179.5,19.83,76
male,47,25000,146.4,172.2,49.37,151.9
female,44,75000,97.3,169,34.07,107.4
female,57,55000,48.6,145.2,23.05,76.2
female,55,35000,99.3,160.5,38.55,121.1
female,15,10000,66.7,162.5,25.26,79.6
male,41,45000,79.2,168.4,27.93,96.8
female,15,35000,55.4,153.7,23.45,73.5
female,39,15000,99.1,171.7,33.61,95.3
female,62,5000,82.3,171.4,28.01,106.4
female,47,20000,57.3,161.5,21.97,87.7
female,47,10000,75.3,154.8,31.42,98.4
male,34,100000,113.5,185.4,33.02,112
female,16,25000,88.1,156.6,35.92,110.2
male,21,5000,106.6,181.5,32.36,110.5
male,39,45000,65.7,169.8,22.79,87
male,51,35000,89.2,177.2,28.41,100.3
male,26,10000,119,171.1,40.65,125.3
male,60,75000,159.1,188.6,44.73,140.7
male,18,15000,86,180.8,26.31,89.6
male,38,100000,92.8,180.2,28.58,103
male,63,25000,87.7,177.6,27.8,
female,71,45000,88.8,161.2,34.17,113.2
male,56,35000,80.7,154.3,33.9,101.9
male,51,25000,88.1,177.2,28.06,104.5
male,25,100000,66.8,172.1,22.55,77.4
male,61,100000,81.6,180.3,25.1,102
male,47,75000,87.2,189.8,24.21,88.8
female,31,20000,58.7,168.6,20.65,82.1
female,29,65000,51.1,155.8,21.05,81.8
female,32,75000,72.4,164.1,26.89,89.4
male,66,25000,73.3,170.2,25.3,88.9
male,15,5000,61.6,165.8,22.41,75.7
female,55,100000,60.8,157.1,24.63,82.9
female,73,25000,110.9,169.9,38.42,130.9
female,59,75000,63,162.1,23.98,91.1
female,24,0,53.9,159.9,21.08,75
female,40,20000,67.3,158,26.96,92
female,16,35000,90.7,168.5,31.95,99.6
female,26,10000,123.4,167.1,44.19,131.2
male,73,20000,94.6,180.4,29.07,107.4
female,71,100000,94.6,163.1,35.56,120.5
female,40,75000,96.6,168.3,34.1,102.2
male,25,65000,71.3,169.9,24.7,84.3
female,23,10000,54.4,156.4,22.24,79
female,40,100000,102.2,159.6,40.12,110.3
male,24,15000,71.7,171.7,24.32,78
male,38,75000,132.1,179.1,41.18,134.3
male,38,45000,128,187.5,36.41,123.9
male,14,0,61,170.6,20.96,74
male,80,75000,105.6,162.8,39.84,123.2
female,14,45000,56.9,149.2,25.56,81.4
male,80,25000,77.6,167.7,27.59,106.8
male,25,25000,93.5,177.5,29.68,101.1
female,80,20000,120.5,166.6,43.41,
female,60,75000,68.1,159,26.94,90
male,80,20000,76.3,178.9,23.84,97.5
male,36,,74.2,162.2,28.2,98.9
female,38,10000,63.9,148.5,28.98,90.5
male,80,55000,87.2,183.3,25.95,107
female,70,55000,73,162.8,27.54,102.4
female,70,10000,66,156.6,26.91,94
female,65,35000,74.6,155.9,30.69,104.5
female,30,5000,46.6,145.3,22.07,75
female,25,100000,55.1,156.3,22.55,77.2
female,52,15000,80.8,161.6,30.94,105.5
male,55,45000,89.8,179,28.03,106.9
male,52,20000,94.5,181.7,28.62,106.4
male,48,100000,90.1,172.9,30.14,106.8
male,51,,67,163.5,25.06,94.4
female,27,20000,65.1,167.7,23.15,80.1
female,41,10000,110.4,169.6,38.38,116.1
male,15,55000,69.2,188.3,19.52,76.6
female,68,,103,143.4,50.09,139.8
female,30,35000,52,159.9,20.34,74.4
male,46,45000,120,189.7,33.35,118
male,68,55000,75.9,179.3,23.61,91.9
male,66,35000,128.3,188.3,36.18,127.9
male,48,75000,86.4,177.5,27.42,93.2
